title,description,link,pubDate
'I just feel like the story's not over yet' - Federer on returning after injury at 39,Roger Federer says he never seriously considered retirement in his 14 months out from tennis as he prepares to return,https://www.bbc.co.uk/sport/tennis/56314453,2021-03-07 16:47:05+00:00
Scottish Conservatives plan John Swinney no confidence vote,The Scottish Conservatives are pushing for the vote over John Swinney's handling of the Alex Salmond case.,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-56311384,2021-03-07 16:45:30+00:00
Rangers fans descend on Ibrox after Premiership win,Nicola Sturgeon urges fans to go home as they celebrate Rangers winning the Scottish Premiership.,https://www.bbc.co.uk/news/uk-scotland-glasgow-west-56312051,2021-03-07 16:42:45+00:00
Fulham win at Anfield as Liverpool lose sixth straight home game,Liverpool's incredible slide continues with a sixth successive Premier League home defeat as Fulham earn a crucial win over the reigning champions.,https://www.bbc.co.uk/sport/football/56227460,2021-03-07 16:37:52+00:00
NHS 1% pay rise is 'as much as we can give' - Boris Johnson,Boris Johnson defends his pay rise proposals after a warning nurses may quit for feeling undervalued.,https://www.bbc.co.uk/news/uk-56313199,2021-03-07 16:09:27+00:00
Switzerland referendum: Voters projected to ban face coverings in public,The result of the referendum would affect Muslim women who wear the burka or niqab.,https://www.bbc.co.uk/news/world-europe-56314173,2021-03-07 15:58:19+00:00
Nazanin Zaghari-Ratcliffe released but faces new court date in Iran,The British-Iranian faces a separate court case now her five-year sentence on spying charges has ended.,https://www.bbc.co.uk/news/uk-56313099,2021-03-07 15:35:01+00:00
Pope Francis visits regions of Iraq once held by Islamic State,The Catholic leader delivers a message of hope in the former Islamic State stronghold of Mosul.,https://www.bbc.co.uk/news/world-middle-east-56309779,2021-03-07 15:24:56+00:00
Gerrard's Rangers win first Scottish top-flight title for 10 years,Rangers are Scottish champions for the first time in 10 years after Celtic draw 0-0 with Dundee United.,https://www.bbc.co.uk/sport/football/56306235,2021-03-07 15:23:27+00:00
Meghan and Harry's TV interview with Oprah Winfrey to air in US,Oprah Winfrey's interview with the Duke and Duchess of Sussex will be broadcast at 01:00 GMT on Monday.,https://www.bbc.co.uk/news/uk-56313648,2021-03-07 14:31:12+00:00
Brexit: Lord Frost accuses EU of 'ill will' over UK exit,"Lord Frost says the EU has ""significantly undermined"" post-Brexit arrangements for Northern Ireland.",https://www.bbc.co.uk/news/uk-politics-56311605,2021-03-07 13:36:29+00:00
Covid: UK must prepare for 'hard winter' of flu - expert,"The population immunity to viruses other than Covid could be lower than usual, a top medic warns.",https://www.bbc.co.uk/news/uk-56312621,2021-03-07 12:38:51+00:00
